Quantiy,Price
2230000000,190.97932104847231
2240000000,191.42763400595265
2250000000,191.87506812104255
2260000000,192.321623393742
2270000000,192.76729982405092
2280000000,193.21209741196938
2290000000,193.65601615749736
2300000000,194.09905606063487
2310000000,194.5412171213819
2320000000,194.98249933973847
2330000000,195.42290271570454
2340000000,195.86242724928013
2350000000,196.30107294046525
2360000000,196.7388397892599
2370000000,197.17572779566407
2380000000,197.61173695967776
2390000000,198.046867281301
2400000000,198.48111876053372
2410000000,198.91449139737597
2420000000,199.34698519182777
2430000000,199.77860014388907
2440000000,200.2093362535599
2450000000,200.63919352084028
2460000000,201.06817194573014
2470000000,201.49627152822956
2480000000,201.92349226833846
2490000000,202.34983416605692
2500000000,202.77529722138488
2510000000,203.19988143432238
2520000000,203.6235868048694
2530000000,204.04641333302595
